,Ross,Jake,eli,Aaron,Michael,Matthew,Jacob,jordan,Jordan Jay,JJ Swerve,Zach,Zac Neff
QB,27.5,17.64,31.78,22.06,26.3,25.7,13.0,14.4,23.9,20.44,20.82,30.76
WR1,9.3,13.9,24.7,18.1,8.0,11.1,15.6,31.0,19.5,11.5,41.6,4.7
WR2,9.5,9.7,24.9,12.3,10.1,8.0,5.2,17.2,10.7,7.7,33.9,9.4
RB1,23.7,21.8,5.6,19.8,35.9,16.1,9.7,12.6,27.7,28.4,6.1,6.6
RB2,14.5,15.6,19.9,5.3,17.6,25.1,2.9,24.6,13.7,3.7,12.1,8.2
TE,3.1,12.3,7.0,13.0,10.8,9.3,22.8,19.1,10.5,2.9,6.8,17.0
W/R/T,14.9,7.4,19.2,29.1,10.5,7.2,9.6,16.6,11.7,7.3,8.9,17.9
BN1,11.1,10.3,15.1,8.7,25.5,2.9,28.2,13.0,0.0,6.7,8.4,6.4
BN2,28.18,0.0,1.0,14.2,4.8,24.5,11.3,2.2,4.0,19.0,6.1,10.9
BN3,16.6,12.0,3.4,10.2,6.9,9.6,6.7,20.46,16.18,6.0,5.2,17.6
BN4,18.2,1.4,6.6,4.5,0.6,9.3,7.7,3.5,4.6,13.5,1.6,10.5
BN5,9.7,0.0,2.8,8.6,6.5,13.6,19.36,1.4,2.2,17.36,16.32,0.0
BN6,7.4,14.0,19.26,5.0,,21.5,3.0,10.9,19.6,14.4,4.7,10.0
BN7,1.4,24.1,27.3,6.9,,0.0,13.7,26.0,3.0,12.9,1.9,4.1
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
K,5.0,7.0,2.0,4.0,9.0,5.0,12.0,10.0,10.0,8.0,7.0,10.0
DEF,-4.0,17.0,15.0,8.0,4.0,8.0,11.0,4.0,3.0,7.0,3.0,6.0
